source,target,seed,method,MAE,n_samples
OR,CO,5,C_Transfer,2.3884308338165283,180
OR,CO,6,A_Faiman+bias,2.1695690155029297,180
OR,CO,6,B_Scratch,2.3954708576202393,180
OR,CO,6,C_Transfer,2.4155166149139404,180
OR,CO,7,A_Faiman+bias,2.207580089569092,180
OR,CO,7,B_Scratch,2.225599527359009,180
OR,CO,7,C_Transfer,2.7558164596557617,180
OR,CO,8,A_Faiman+bias,2.157268762588501,180
OR,CO,8,B_Scratch,2.2500557899475098,180
OR,CO,8,C_Transfer,2.204084634780884,180
OR,CO,9,A_Faiman+bias,2.1577601432800293,180
OR,CO,9,B_Scratch,2.1100664138793945,180
OR,CO,9,C_Transfer,2.167968273162842,180
OR,CO,10,A_Faiman+bias,2.2638912200927734,180
OR,CO,10,B_Scratch,2.138098955154419,180
OR,CO,10,C_Transfer,2.3866748809814453,180
OR,CO,11,A_Faiman+bias,2.391139030456543,180
OR,CO,11,B_Scratch,2.0837135314941406,180
OR,CO,11,C_Transfer,2.3213918209075928,180
OR,CO,12,A_Faiman+bias,2.365360975265503,180
OR,CO,12,B_Scratch,2.195136547088623,180
OR,CO,12,C_Transfer,2.0671775341033936,180
OR,CO,13,A_Faiman+bias,2.1589102745056152,180
OR,CO,13,B_Scratch,2.0949618816375732,180
OR,CO,13,C_Transfer,2.322866439819336,180
OR,CO,14,A_Faiman+bias,2.170930862426758,180
OR,CO,14,B_Scratch,2.13236927986145,180
OR,CO,14,C_Transfer,2.45308256149292,180
OR,CO,15,A_Faiman+bias,2.159780263900757,180
OR,CO,15,B_Scratch,3.163426637649536,180
OR,CO,15,C_Transfer,3.0151851177215576,180
OR,CO,16,A_Faiman+bias,2.1593780517578125,180
OR,CO,16,B_Scratch,2.2192394733428955,180
OR,CO,16,C_Transfer,2.3900372982025146,180
OR,CO,17,A_Faiman+bias,2.1697752475738525,180
OR,CO,17,B_Scratch,2.130971670150757,180
OR,CO,17,C_Transfer,2.480365514755249,180
OR,CO,18,A_Faiman+bias,2.1669719219207764,180
OR,CO,18,B_Scratch,2.1429390907287598,180
OR,CO,18,C_Transfer,2.505542278289795,180
OR,CO,19,A_Faiman+bias,2.2487905025482178,180
OR,CO,19,B_Scratch,2.1486573219299316,180
OR,CO,19,C_Transfer,2.3031539916992188,180
OR,FL,0,A_Faiman+bias,3.5278687477111816,180
OR,FL,0,B_Scratch,1.9931797981262207,180
OR,FL,0,C_Transfer,2.0074400901794434,180
OR,FL,1,A_Faiman+bias,3.871253252029419,180
OR,FL,1,B_Scratch,2.8236515522003174,180
OR,FL,1,C_Transfer,2.539393424987793,180
OR,FL,2,A_Faiman+bias,3.3544633388519287,180
OR,FL,2,B_Scratch,2.8950276374816895,180
OR,FL,2,C_Transfer,2.273404359817505,180
OR,FL,3,A_Faiman+bias,3.332947015762329,180
OR,FL,3,B_Scratch,2.883331537246704,180
OR,FL,3,C_Transfer,2.4233930110931396,180
OR,FL,4,A_Faiman+bias,3.377244234085083,180
OR,FL,4,B_Scratch,3.1467528343200684,180
OR,FL,4,C_Transfer,2.3615429401397705,180
OR,FL,5,A_Faiman+bias,3.803243398666382,180
OR,FL,5,B_Scratch,2.2929842472076416,180
OR,FL,5,C_Transfer,2.1151342391967773,180
OR,FL,6,A_Faiman+bias,3.32989764213562,180
OR,FL,6,B_Scratch,2.3834540843963623,180
OR,FL,6,C_Transfer,1.9007610082626343,180
OR,FL,7,A_Faiman+bias,3.3509693145751953,180
OR,FL,7,B_Scratch,1.9878648519515991,180
OR,FL,7,C_Transfer,1.9651131629943848,180
OR,FL,8,A_Faiman+bias,3.355982542037964,180
OR,FL,8,B_Scratch,3.111076831817627,180
OR,FL,8,C_Transfer,2.860110282897949,180
OR,FL,9,A_Faiman+bias,4.114826202392578,180
OR,FL,9,B_Scratch,1.958044409751892,180
OR,FL,9,C_Transfer,2.101926326751709,180
OR,FL,10,A_Faiman+bias,3.5814876556396484,180
OR,FL,10,B_Scratch,3.8696157932281494,180
OR,FL,10,C_Transfer,2.869105339050293,180
OR,FL,11,A_Faiman+bias,3.33200740814209,180
OR,FL,11,B_Scratch,1.851800560951233,180
OR,FL,11,C_Transfer,1.7292572259902954,180
OR,FL,12,A_Faiman+bias,3.3858394622802734,180
OR,FL,12,B_Scratch,2.054973602294922,180
OR,FL,12,C_Transfer,1.8389317989349365,180
OR,FL,13,A_Faiman+bias,3.526496410369873,180
OR,FL,13,B_Scratch,2.32810640335083,180
OR,FL,13,C_Transfer,2.923703908920288,180
OR,FL,14,A_Faiman+bias,3.3626134395599365,180
OR,FL,14,B_Scratch,2.3582751750946045,180
OR,FL,14,C_Transfer,1.7943860292434692,180
OR,FL,15,A_Faiman+bias,3.3460254669189453,180
OR,FL,15,B_Scratch,2.914257526397705,180
OR,FL,15,C_Transfer,2.8187031745910645,180
OR,FL,16,A_Faiman+bias,3.321366548538208,180
OR,FL,16,B_Scratch,2.5302648544311523,180
OR,FL,16,C_Transfer,2.5506110191345215,180
OR,FL,17,A_Faiman+bias,3.4110159873962402,180
OR,FL,17,B_Scratch,2.990593194961548,180
OR,FL,17,C_Transfer,2.595350742340088,180
OR,FL,18,A_Faiman+bias,3.359156370162964,180
OR,FL,18,B_Scratch,1.9439448118209839,180
OR,FL,18,C_Transfer,2.149336338043213,180
OR,FL,19,A_Faiman+bias,3.409599542617798,180
OR,FL,19,B_Scratch,3.515699863433838,180
OR,FL,19,C_Transfer,2.6082370281219482,180
