site,resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
CO,60,forecast,Hybrid,3,89,15,5.006834030151367,6.540433569019102,0.5903066992759705,182,32,20.6
CO,60,forecast,Hybrid,4,89,15,4.958338260650635,6.274222166934227,0.622978925704956,167,32,18.3
CO,60,forecast,Hybrid,5,89,15,3.85091233253479,5.153239903230213,0.7456647753715515,170,32,18.1
CO,60,forecast,Hybrid,6,89,15,4.111208915710449,5.287303277001723,0.7322593927383423,200,32,20.1
CO,60,forecast,Hybrid,7,89,15,4.458688259124756,5.6739709937907605,0.6916670203208923,190,32,18.3
CO,60,forecast,Hybrid,8,89,15,4.630488872528076,5.661455825295079,0.6930257081985474,185,32,19.6
CO,60,forecast,Hybrid,9,89,15,6.839195728302002,8.1599762688086,0.362289547920227,196,32,19.8
CO,60,forecast,Hybrid,10,89,15,5.252032279968262,6.855223909445469,0.5499206781387329,177,32,16.8
CO,60,forecast,Hybrid,11,89,15,5.043830871582031,6.662257103133438,0.5749025344848633,200,32,19.8
CO,60,forecast,Hybrid,12,89,15,5.361367225646973,6.385757943306186,0.6094553470611572,151,32,17.1
CO,60,forecast,Hybrid,13,89,15,5.305451393127441,6.712782938018272,0.5684303045272827,200,32,21.2
CO,60,forecast,Hybrid,14,89,15,9.498808860778809,11.458946923675375,-0.2575787305831909,133,32,15.7
CO,60,forecast,Hybrid,15,89,15,3.773279428482056,5.006518311281432,0.7599413394927979,200,32,20.0
CO,60,forecast,Hybrid,16,89,15,4.531971454620361,5.909640514716914,0.6655217409133911,200,32,18.9
CO,60,forecast,Hybrid,17,89,15,6.517179012298584,7.809103509733522,0.4159525632858276,200,32,19.4
CO,60,forecast,Hybrid,18,89,15,3.9555869102478023,5.125721392218798,0.7483738660812378,172,32,17.3
CO,60,forecast,Hybrid,19,89,15,6.374281883239746,7.665340087671777,0.4372588992118835,160,32,16.3
CO,30,nowcast,Faiman,-1,2358,590,1.716529130935669,2.261166098215313,0.9699530005455016,0,0,0.0
CO,30,nowcast,PG-ResMLP,0,2358,590,1.6007298231124878,2.018554333159439,0.9760549068450928,200,35,23.1
CO,30,nowcast,PG-ResMLP,1,2358,590,1.7019367218017578,2.1254597334869265,0.9734513759613036,200,35,23.4
CO,30,nowcast,PG-ResMLP,2,2358,590,1.529334545135498,1.970337061536077,0.9771851897239684,200,35,24.9
CO,30,nowcast,PG-ResMLP,3,2358,590,1.642132043838501,2.062048313503566,0.9750118851661682,33,35,4.2
CO,30,nowcast,PG-ResMLP,4,2358,590,1.6311572790145874,2.04424145590373,0.975441575050354,27,35,3.6
CO,30,nowcast,PG-ResMLP,5,2358,590,1.560773849487305,1.992722323565137,0.9766638278961182,200,35,23.9
CO,30,nowcast,PG-ResMLP,6,2358,590,1.626465916633606,2.052377424773397,0.975245714187622,49,35,6.2
CO,30,nowcast,PG-ResMLP,7,2358,590,1.6471043825149536,2.058861268122384,0.9750890731811525,200,35,24.1
CO,30,nowcast,PG-ResMLP,8,2358,590,1.642996072769165,2.0586413499225853,0.9750943779945374,25,35,3.6
CO,30,nowcast,PG-ResMLP,9,2358,590,1.653014898300171,2.075001024912386,0.9746969938278198,26,35,3.8
CO,30,nowcast,PG-ResMLP,10,2358,590,1.6260919570922852,2.048688594696209,0.975334644317627,28,35,3.8
CO,30,nowcast,PG-ResMLP,11,2358,590,1.6493594646453855,2.088842761880919,0.9743582606315612,27,35,3.6
