hidden_size,source,target,seed,transfer_mae,scratch_mae,gain
32,FL,OR,5,1.8545042276382446,1.732776403427124,-0.1217278242111206
32,FL,OR,6,1.8724007606506348,4.140248775482178,2.267848014831543
32,FL,OR,7,2.8436124324798584,3.9066250324249268,1.0630125999450684
32,FL,OR,8,2.455496072769165,2.4248199462890625,-0.03067612648010254
32,FL,OR,9,1.474928617477417,2.027940273284912,0.5530116558074951
32,OR,CO,0,3.714622735977173,3.131025791168213,-0.58359694480896
32,OR,CO,1,3.608970880508423,2.7022392749786377,-0.9067316055297852
32,OR,CO,2,4.885801792144775,4.324599266052246,-0.5612025260925293
32,OR,CO,3,2.0554656982421875,2.163098096847534,0.10763239860534668
32,OR,CO,4,3.645761728286743,2.115345001220703,-1.53041672706604
32,OR,CO,5,5.397298336029053,3.7121739387512207,-1.685124397277832
32,OR,CO,6,4.942313194274902,2.199925422668457,-2.7423877716064453
32,OR,CO,7,2.7954540252685547,2.2023978233337402,-0.5930562019348145
32,OR,CO,8,2.7354681491851807,4.133517742156982,1.3980495929718018
32,OR,CO,9,2.085008382797241,2.0262088775634766,-0.05879950523376465
32,OR,FL,0,1.9574213027954102,1.9069987535476685,-0.0504225492477417
32,OR,FL,1,3.4793975353240967,5.488011837005615,2.0086143016815186
32,OR,FL,2,1.905974268913269,1.8482595682144165,-0.05771470069885254
32,OR,FL,3,2.5821006298065186,2.7705085277557373,0.18840789794921875
32,OR,FL,4,2.8668510913848877,3.0513815879821777,0.18453049659729004
32,OR,FL,5,2.6877920627593994,3.5387392044067383,0.8509471416473389
32,OR,FL,6,1.951156735420227,1.944685697555542,-0.006471037864685059
32,OR,FL,7,1.9499047994613647,2.0027811527252197,0.05287635326385498
32,OR,FL,8,2.973327159881592,3.059081792831421,0.0857546329498291
32,OR,FL,9,2.65162992477417,3.1606457233428955,0.5090157985687256
64,CO,FL,0,2.0254764556884766,2.044719696044922,0.019243240356445312
64,CO,FL,1,3.921217918395996,6.460201740264893,2.5389838218688965
64,CO,FL,2,2.930330991744995,1.7745038270950317,-1.1558271646499634
64,CO,FL,3,2.5740747451782227,2.3315353393554688,-0.2425394058227539
64,CO,FL,4,3.037574529647827,2.64107608795166,-0.396498441696167
64,CO,FL,5,2.78947377204895,2.222154140472412,-0.5673196315765381
64,CO,FL,6,2.5219061374664307,1.9581822156906128,-0.5637239217758179
64,CO,FL,7,2.7182021141052246,2.1083271503448486,-0.609874963760376
64,CO,FL,8,4.1112213134765625,3.244194507598877,-0.8670268058776855
64,CO,FL,9,2.0088117122650146,2.1956264972686768,0.1868147850036621
64,CO,OR,0,1.8559057712554932,2.2613091468811035,0.40540337562561035
64,CO,OR,1,1.7337883710861206,1.5995914936065674,-0.13419687747955322
64,CO,OR,2,1.5661914348602295,1.449466586112976,-0.11672484874725342
64,CO,OR,3,1.7926427125930786,2.030465841293335,0.23782312870025635
64,CO,OR,4,1.7643376588821411,1.617982029914856,-0.14635562896728516
64,CO,OR,5,1.6410503387451172,1.6010868549346924,-0.039963483810424805
64,CO,OR,6,2.2855889797210693,3.671736001968384,1.3861470222473145
64,CO,OR,7,1.6606403589248657,1.8126780986785889,0.15203773975372314
64,CO,OR,8,2.606762170791626,2.696002960205078,0.08924078941345215
64,CO,OR,9,1.66044020652771,2.710268259048462,1.049828052520752
64,FL,CO,0,3.0645878314971924,2.123059034347534,-0.9415287971496582
64,FL,CO,1,4.3484296798706055,2.222961187362671,-2.1254684925079346
64,FL,CO,2,4.290520191192627,6.693356990814209,2.402836799621582
64,FL,CO,3,2.6046862602233887,2.1389224529266357,-0.46576380729675293
64,FL,CO,4,3.2504732608795166,2.088494062423706,-1.1619791984558105
64,FL,CO,5,5.3894453048706055,2.912693738937378,-2.4767515659332275
64,FL,CO,6,2.8959105014801025,3.12870192527771,0.23279142379760742
