resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
15,nowcast,PG-ResMLP-ws2,4,14806,12885,2.5420870780944824,3.2399507827317264,0.9349803328514099,172,222,16.2
15,nowcast,LSTM-noWS,4,12908,11220,2.500206470489502,3.2092958137824144,0.9266291856765747,120,193,35.0
15,nowcast,PG-ResMLP-ws2,5,14806,12885,2.5456604957580566,3.2640580063602234,0.9340091347694397,200,222,18.6
15,nowcast,LSTM-noWS,5,12908,11220,2.5020806789398193,3.2043276134162,0.9268561601638794,99,193,28.2
15,nowcast,PG-ResMLP-ws2,6,14806,12885,2.5509979724884033,3.2607537401056956,0.9341427087783813,200,222,18.7
15,nowcast,LSTM-noWS,6,12908,11220,2.403522491455078,3.1130930079049515,0.9309619665145874,154,193,41.8
15,nowcast,PG-ResMLP-ws2,7,14806,12885,2.5204172134399414,3.23559989402187,0.9351548552513123,200,222,18.7
15,nowcast,LSTM-noWS,7,12908,11220,2.4818899631500244,3.1932045248675003,0.9273630380630493,103,193,29.0
15,nowcast,PG-ResMLP-ws2,8,14806,12885,2.537956714630127,3.242707360195296,0.934869647026062,200,222,18.6
15,nowcast,LSTM-noWS,8,12908,11220,2.4879441261291504,3.200745233543093,0.9270195960998535,74,193,21.6
15,nowcast,PG-ResMLP-ws2,9,14806,12885,2.5245156288146973,3.2319838673689425,0.9352996945381165,200,222,18.6
15,nowcast,LSTM-noWS,9,12908,11220,2.4976518154144287,3.208291553043622,0.9266750812530518,62,193,25.0
15,nowcast,PG-ResMLP-ws2,10,14806,12885,2.547680139541626,3.2497513015665818,0.9345864057540894,141,222,19.1
15,nowcast,LSTM-noWS,10,12908,11220,2.432555675506592,3.1267715010592676,0.9303539991378784,106,193,41.1
15,nowcast,PG-ResMLP-ws2,11,14806,12885,2.5364432334899902,3.254978181968028,0.9343757629394531,200,222,24.3
15,nowcast,LSTM-noWS,11,12908,11220,2.44968318939209,3.15587681745319,0.9290513396263123,142,193,53.8
15,nowcast,PG-ResMLP-ws2,12,14806,12885,3.396850824356079,4.2727909470762775,0.8869185447692871,21,222,3.4
15,nowcast,LSTM-noWS,12,12908,11220,2.5359089374542236,3.2432846235307435,0.9250668287277222,53,193,22.7
15,nowcast,PG-ResMLP-ws2,13,14806,12885,2.5296711921691895,3.2478755463025397,0.934661865234375,135,222,18.3
15,nowcast,LSTM-noWS,13,12908,11220,2.52815318107605,3.243809599870936,0.9250425696372986,62,193,23.1
15,nowcast,PG-ResMLP-ws2,14,14806,12885,3.286268472671509,4.136288311603061,0.89402836561203,21,222,2.6
15,nowcast,LSTM-noWS,14,12908,11220,2.5936219692230225,3.326640053020224,0.9211656451225281,75,193,23.0
15,nowcast,PG-ResMLP-ws2,15,14806,12885,2.536679983139038,3.247020382604838,0.9346962571144104,200,222,18.8
15,nowcast,LSTM-noWS,15,12908,11220,2.5287952423095703,3.2375696594520846,0.925330638885498,68,193,20.7
15,nowcast,PG-ResMLP-ws2,16,14806,12885,3.288710832595825,4.148982067967682,0.8933769464492798,21,222,2.5
15,nowcast,LSTM-noWS,16,12908,11220,2.5021002292633057,3.2216030179949544,0.9260653257369995,66,193,20.7
15,nowcast,PG-ResMLP-ws2,17,14806,12885,2.5445055961608887,3.2541178512005295,0.9344104528427124,125,222,12.1
15,nowcast,LSTM-noWS,17,12908,11220,2.507767677307129,3.226186956759986,0.9258548021316528,52,193,16.2
15,nowcast,PG-ResMLP-ws2,18,14806,12885,2.5504863262176514,3.272851859717194,0.9336531162261963,200,222,18.8
15,nowcast,LSTM-noWS,18,12908,11220,2.4621598720550537,3.1729194913280905,0.9282829761505127,92,193,27.3
15,nowcast,PG-ResMLP-ws2,19,14806,12885,2.5134711265563965,3.234514758642624,0.9351983070373535,200,222,19.0
15,nowcast,LSTM-noWS,19,12908,11220,2.448240041732788,3.155065030789499,0.9290878772735596,93,193,27.1
15,forecast,PG-ResMLP-ws2,0,14399,12532,2.905029296875,3.683215092505945,0.9109063744544983,200,216,18.2
15,forecast,LSTM-noWS,0,12546,10905,2.6207406520843506,3.3617264435698044,0.9193364977836609,67,188,18.5
15,forecast,PG-ResMLP-ws2,1,14399,12532,2.8927557468414307,3.6821503708783765,0.9109578728675842,159,216,14.8
15,forecast,LSTM-noWS,1,12546,10905,2.7358663082122803,3.494312570007735,0.9128482937812805,64,188,18.1
15,forecast,PG-ResMLP-ws2,2,14399,12532,2.8978865146636963,3.670104293796533,0.9115394949913025,125,216,11.8
15,forecast,LSTM-noWS,2,12546,10905,2.6464667320251465,3.391186786291643,0.9179165363311768,78,188,21.8
15,forecast,PG-ResMLP-ws2,3,14399,12532,2.907402753829956,3.686223601217293,0.910760760307312,144,216,13.5
15,forecast,LSTM-noWS,3,12546,10905,2.696854591369629,3.452471364846557,0.9149229526519775,53,188,15.4
15,forecast,PG-ResMLP-ws2,4,14399,12532,3.015838146209717,3.7572493101390063,0.9072887301445007,35,216,3.7
15,forecast,LSTM-noWS,4,12546,10905,2.5901052951812744,3.34345707546158,0.9202108383178711,103,188,28.7
15,forecast,PG-ResMLP-ws2,5,14399,12532,2.89791202545166,3.6699934663636467,0.9115448594093323,102,216,10.0
15,forecast,LSTM-noWS,5,12546,10905,2.655341625213623,3.407255251876564,0.9171367883682251,82,188,26.0
15,forecast,PG-ResMLP-ws2,6,14399,12532,2.9004554748535156,3.687160282327146,0.9107154011726379,200,216,25.6
15,forecast,LSTM-noWS,6,12546,10905,2.634791851043701,3.3813871063244716,0.9183902144432068,57,188,22.8
15,forecast,PG-ResMLP-ws2,7,14399,12532,2.9044649600982666,3.678411501451575,0.9111385941505432,178,216,21.4
15,forecast,LSTM-noWS,7,12546,10905,2.649165153503418,3.384990317078663,0.9182162284851074,115,188,40.2
15,forecast,PG-ResMLP-ws2,8,14399,12532,2.889772891998291,3.667958999962081,0.9116429090499878,137,216,12.6
15,forecast,LSTM-noWS,8,12546,10905,2.6793053150177,3.4353464489930814,0.9157648086547852,101,188,31.6
15,forecast,PG-ResMLP-ws2,9,14399,12532,2.913200616836548,3.68775680423647,0.9106864929199219,146,216,18.0
15,forecast,LSTM-noWS,9,12546,10905,2.668574810028076,3.432117340029327,0.9159231185913086,96,188,36.7
15,forecast,PG-ResMLP-ws2,10,14399,12532,2.88447642326355,3.6579894794210626,0.9121225476264954,148,216,18.4
15,forecast,LSTM-noWS,10,12546,10905,2.7363696098327637,3.4990367926412724,0.9126124978065491,66,188,25.9
15,forecast,PG-ResMLP-ws2,11,14399,12532,2.9130420684814453,3.7022406572364037,0.9099835753440857,200,216,23.4
15,forecast,LSTM-noWS,11,12546,10905,2.676501512527466,3.435727997863797,0.9157460927963257,61,188,17.5
15,forecast,PG-ResMLP-ws2,12,14399,12532,2.8912408351898193,3.669504252532021,0.9115684032440186,200,216,25.5
15,forecast,LSTM-noWS,12,12546,10905,2.66191029548645,3.416086395734534,0.9167066812515259,101,188,27.6
15,forecast,PG-ResMLP-ws2,13,14399,12532,3.2688567638397217,4.033292504306249,0.8931654095649719,23,216,2.5
15,forecast,LSTM-noWS,13,12546,10905,2.6346349716186523,3.378208189724268,0.9185435771942139,79,188,25.6
15,forecast,PG-ResMLP-ws2,14,14399,12532,2.8850958347320557,3.671706305341971,0.9114622473716736,200,216,18.3
15,forecast,LSTM-noWS,14,12546,10905,2.741267442703247,3.50739787142708,0.9121943712234497,55,188,15.8
15,forecast,PG-ResMLP-ws2,15,14399,12532,2.9069368839263916,3.6935263060917145,0.9104068279266357,145,216,13.2
15,forecast,LSTM-noWS,15,12546,10905,2.6795036792755127,3.427620858163057,0.9161432981491089,142,188,46.1
15,forecast,PG-ResMLP-ws2,16,14399,12532,2.8851709365844727,3.6661542765635806,0.9117298126220703,200,216,25.5
15,forecast,LSTM-noWS,16,12546,10905,2.688563346862793,3.4540524165114084,0.9148449897766113,55,188,21.9
15,forecast,PG-ResMLP-ws2,17,14399,12532,2.8999922275543213,3.684716936313675,0.9108337163925171,115,216,13.9
15,forecast,LSTM-noWS,17,12546,10905,2.6261277198791504,3.371430098461701,0.9188701510429382,141,188,47.6
15,forecast,PG-ResMLP-ws2,18,14399,12532,2.8916728496551514,3.673622007940741,0.9113698601722717,134,216,16.4
15,forecast,LSTM-noWS,18,12546,10905,2.6529605388641357,3.4138193283947214,0.9168171882629395,79,188,30.3
15,forecast,PG-ResMLP-ws2,19,14399,12532,2.9024605751037598,3.676030441415492,0.9112535715103149,200,216,19.1
15,forecast,LSTM-noWS,19,12546,10905,2.6567177772521973,3.413218658006082,0.916846513748169,78,188,29.7
