site,resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
CO,15,forecast,LSTM,13,2765,702,2.4431087970733643,3.1561191645028224,0.936637282371521,36,41,12.0
CO,15,forecast,LSTM,14,2765,702,2.557462215423584,3.281158736640045,0.9315171837806702,44,41,14.3
CO,15,forecast,LSTM,15,2765,702,3.0071094036102295,3.713973624354037,0.9122585654258728,48,41,15.2
CO,15,forecast,LSTM,16,2765,702,2.0547754764556885,2.858948222344944,0.9480075836181641,93,41,27.3
CO,15,forecast,LSTM,17,2765,702,2.069013833999634,2.849969790114525,0.9483336806297302,85,41,25.2
CO,15,forecast,LSTM,18,2765,702,2.736884832382202,3.4389659183429564,0.9247714281082153,50,41,15.7
CO,15,forecast,LSTM,19,2765,702,2.0820064544677734,2.89929268860135,0.9465298652648926,55,41,17.0
CO,15,forecast,Hybrid,0,2765,702,2.6839592456817627,3.671000924472178,0.914277195930481,43,41,28.5
CO,15,forecast,Hybrid,1,2765,702,2.480435848236084,3.225237188562316,0.9338316321372986,50,41,33.0
CO,15,forecast,Hybrid,2,2765,702,1.9045528173446655,2.689880381480709,0.9539750814437866,59,41,38.9
CO,15,forecast,Hybrid,3,2765,702,2.285367012023926,3.0454437806910994,0.9410032033920288,49,41,32.8
CO,15,forecast,Hybrid,4,2765,702,2.137183666229248,2.868594289638631,0.9476561546325684,65,41,41.8
CO,15,forecast,Hybrid,5,2765,702,2.191896677017212,2.9297386063250763,0.9454009532928467,51,41,33.6
CO,15,forecast,Hybrid,6,2765,702,2.434377670288086,3.3840655325367766,0.9271541833877563,34,41,23.2
CO,15,forecast,Hybrid,7,2765,702,2.439134359359741,3.2704995019396503,0.9319614171981812,35,41,23.9
CO,15,forecast,Hybrid,8,2765,702,2.981909990310669,3.8476734761273654,0.9058275818824768,29,41,20.4
CO,15,forecast,Hybrid,9,2765,702,3.0207936763763428,4.020187457823941,0.8971936702728271,34,41,23.2
CO,15,forecast,Hybrid,10,2765,702,3.234255313873291,4.290477970768684,0.8829049468040466,29,41,20.5
CO,15,forecast,Hybrid,11,2765,702,2.446486711502075,3.2214912667032505,0.9339852333068848,48,41,32.2
CO,15,forecast,Hybrid,12,2765,702,2.466485023498535,3.2931555426892194,0.9310154914855957,44,41,29.7
CO,15,forecast,Hybrid,13,2765,702,3.1393632888793945,3.9795781001078994,0.8992601633071899,30,41,21.3
CO,15,forecast,Hybrid,14,2765,702,2.5130789279937744,3.4373622519897156,0.9248415231704712,36,41,24.7
CO,15,forecast,Hybrid,15,2765,702,2.087736129760742,2.8795534646048124,0.9472554922103882,48,41,31.9
CO,15,forecast,Hybrid,16,2765,702,2.274684190750122,3.106505330143655,0.9386137127876282,53,41,35.4
