mode,model,seed,MAE,RMSE,R2,train_s
forecast,Ridge,-1,1.5880005483872657,2.0326367837609896,0.9747766629346138,0.0
forecast,RandomForest,0,1.5076098399252327,1.949199197652606,0.9768049437382914,1.4
forecast,RandomForest,1,1.5045427402057259,1.9467665161569492,0.9768628043952388,1.5
forecast,RandomForest,2,1.5068614605895092,1.9485089694314868,0.9768213679681217,1.5
forecast,RandomForest,3,1.5071166045663522,1.9489134767337504,0.9768117432763456,1.4
forecast,RandomForest,4,1.5060513561213278,1.9469553034570226,0.9768583167276662,1.4
forecast,RandomForest,5,1.5064685732927743,1.9482455233973823,0.9768276352278382,1.5
forecast,RandomForest,6,1.5068611939114682,1.9473780183497984,0.9768482667834321,1.4
forecast,RandomForest,7,1.5065372478535621,1.9484688769686376,0.9768223218040011,1.4
forecast,RandomForest,8,1.507053013332521,1.9483364492629274,0.9768254722391747,1.5
forecast,RandomForest,9,1.5061770690497922,1.9494540401496543,0.9767988781986809,1.5
forecast,RandomForest,10,1.503956569813654,1.945733602922668,0.9768873500973236,1.4
forecast,RandomForest,11,1.5052182985781688,1.9460345239376022,0.9768802004855972,1.4
forecast,RandomForest,12,1.5067406637337732,1.9486378396399815,0.9768183018966101,1.4
forecast,RandomForest,13,1.5060165822879295,1.9473271317486656,0.9768494767155665,1.4
forecast,RandomForest,14,1.505377202873419,1.9463375191286139,0.9768730004762104,1.4
forecast,RandomForest,15,1.5076007486615413,1.9492629755401807,0.9768034258268391,1.5
forecast,RandomForest,16,1.5068484047025037,1.9494110447805213,0.976799901592693,1.4
forecast,RandomForest,17,1.5061338843879366,1.948506844125495,0.9768214185315622,1.4
forecast,RandomForest,18,1.5055526634835164,1.9466855550759645,0.9768647287897673,1.4
forecast,RandomForest,19,1.5047422355359463,1.9464554039513788,0.9768701989016876,1.4
forecast,XGBoost,0,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,1,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,2,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,3,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,4,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,5,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,6,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,7,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,8,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,9,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,10,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,11,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,12,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,13,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,14,1.4837231349868465,1.911517494688417,0.977693083753228,0.3
forecast,XGBoost,15,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,16,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,17,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,18,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
forecast,XGBoost,19,1.4837231349868465,1.911517494688417,0.977693083753228,0.2
