seed,alpha,method,band,n_cal,n_test,qhat,coverage,mean_width,test_MAE
3,0.1,mondrian,"[200,500)",3607,12362,4.197002410888672,0.9690988513185569,8.394004821777344,1.2809003591537476
3,0.1,mondrian,"[500,inf)",2774,21192,3.021320343017578,0.9019441298603247,6.042640686035156,1.2809003591537476
3,0.1,mondrian,all,9897,43096,,0.9395999628735846,6.7013182365232655,1.2809003591537476
3,0.05,global,all,9897,43096,4.264947891235352,0.9726192686096158,8.529895782470703,1.2809003591537476
3,0.05,mondrian,"[0,200)",3516,9542,3.4997406005859375,0.9920352127436596,6.999481201171875,1.2809003591537476
3,0.05,mondrian,"[200,500)",3607,12362,5.296037673950195,0.986086393787413,10.59207534790039,1.2809003591537476
3,0.05,mondrian,"[500,inf)",2774,21192,3.8244781494140625,0.9497451868629672,7.648956298828125,1.2809003591537476
3,0.05,mondrian,all,9897,43096,,0.9695331353257843,8.349382006615285,1.2809003591537476
4,0.1,global,all,9897,43096,3.434202194213867,0.9487655466864674,6.868404388427734,1.2876187562942505
4,0.1,mondrian,"[0,200)",3516,9542,2.8934974670410156,0.9802976315237896,5.786994934082031,1.2876187562942505
4,0.1,mondrian,"[200,500)",3607,12362,4.26739501953125,0.9712829639216956,8.5347900390625,1.2876187562942505
4,0.1,mondrian,"[500,inf)",2774,21192,3.0170745849609375,0.9074650811627029,6.034149169921875,1.2876187562942505
4,0.1,mondrian,all,9897,43096,,0.9418971598292185,6.696729843439895,1.2876187562942505
4,0.05,global,all,9897,43096,4.343475341796875,0.9759374419899759,8.68695068359375,1.2876187562942505
4,0.05,mondrian,"[0,200)",3516,9542,3.6478271484375,0.992559211905261,7.295654296875,1.2876187562942505
4,0.05,mondrian,"[200,500)",3607,12362,5.451683044433594,0.9869762174405436,10.903366088867188,1.2876187562942505
4,0.05,mondrian,"[500,inf)",2774,21192,3.791584014892578,0.9515383163457909,7.583168029785156,1.2876187562942505
4,0.05,mondrian,all,9897,43096,,0.9707861518470392,8.47190091374059,1.2876187562942505
5,0.1,global,all,9897,43096,3.752094268798828,0.9584648227213662,7.504188537597656,1.3228554725646973
5,0.1,mondrian,"[0,200)",3516,9542,3.4659671783447266,0.9836512261580381,6.931934356689453,1.3228554725646973
5,0.1,mondrian,"[200,500)",3607,12362,4.673494338989258,0.9754894030092218,9.346988677978516,1.3228554725646973
5,0.1,mondrian,"[500,inf)",2774,21192,2.9691314697265625,0.9061910154775387,5.938262939453125,1.3228554725646973
5,0.1,mondrian,all,9897,43096,,0.943219788379432,7.136060420493591,1.3228554725646973
5,0.05,global,all,9897,43096,4.712252616882324,0.9802765917950622,9.424505233764648,1.3228554725646973
5,0.05,mondrian,"[0,200)",3516,9542,4.148011207580566,0.9919304129113393,8.296022415161133,1.3228554725646973
5,0.05,mondrian,"[200,500)",3607,12362,5.825813293457031,0.9881896133311762,11.651626586914062,1.3228554725646973
5,0.05,mondrian,"[500,inf)",2774,21192,3.774005889892578,0.9521517553793885,7.548011779785156,1.3228554725646973
5,0.05,mondrian,all,9897,43096,,0.9712966400594023,8.890744370477682,1.3228554725646973
6,0.1,global,all,9897,43096,3.3556346893310547,0.9439391126786709,6.711269378662109,1.2806024551391602
6,0.1,mondrian,"[0,200)",3516,9542,2.872300386428833,0.982812827499476,5.744600772857666,1.2806024551391602
6,0.1,mondrian,"[200,500)",3607,12362,4.167951583862305,0.9673192040122958,8.33590316772461,1.2806024551391602
6,0.1,mondrian,"[500,inf)",2774,21192,3.0441207885742188,0.9077482068705172,6.0882415771484375,1.2806024551391602
6,0.1,mondrian,all,9897,43096,,0.941456283645814,6.65689231104857,1.2806024551391602
6,0.05,global,all,9897,43096,4.266609191894531,0.9733617969185075,8.533218383789062,1.2806024551391602
6,0.05,mondrian,"[0,200)",3516,9542,3.4227657318115234,0.9910920142527772,6.845531463623047,1.2806024551391602
6,0.05,mondrian,"[200,500)",3607,12362,5.307514190673828,0.9851965701342825,10.615028381347656,1.2806024551391602
6,0.05,mondrian,"[500,inf)",2774,21192,3.8635406494140625,0.9532370705926765,7.727081298828125,1.2806024551391602
6,0.05,mondrian,all,9897,43096,,0.9707861518470392,8.360296755171628,1.2806024551391602
7,0.1,global,all,9897,43096,3.8143434524536133,0.9607620196770001,7.628686904907227,1.353098750114441
7,0.1,mondrian,"[0,200)",3516,9542,3.614614486694336,0.9862712219660449,7.229228973388672,1.353098750114441
7,0.1,mondrian,"[200,500)",3607,12362,4.717119216918945,0.9767027988998543,9.43423843383789,1.353098750114441
7,0.1,mondrian,"[500,inf)",2774,21192,2.8226089477539062,0.8843903359758399,5.6452178955078125,1.353098750114441
7,0.1,mondrian,all,9897,43096,,0.9334276963059217,7.082810841488311,1.353098750114441
7,0.05,global,all,9897,43096,4.783791542053223,0.9813439762390941,9.567583084106445,1.353098750114441
7,0.05,mondrian,"[0,200)",3516,9542,4.349727630615234,0.9927688115699015,8.699455261230469,1.353098750114441
7,0.05,mondrian,"[200,500)",3607,12362,5.859575271606445,0.9889176508655557,11.71915054321289,1.353098750114441
7,0.05,mondrian,"[500,inf)",2774,21192,3.5409202575683594,0.9411098527746319,7.081840515136719,1.353098750114441
7,0.05,mondrian,all,9897,43096,,0.9662613699647299,8.770203854525622,1.353098750114441
8,0.1,global,all,9897,43096,3.2920188903808594,0.943382216447002,6.584037780761719,1.2739646434783936
8,0.1,mondrian,"[0,200)",3516,9542,2.6891069412231445,0.9793544330329071,5.378213882446289,1.2739646434783936
8,0.1,mondrian,"[200,500)",3607,12362,4.016841888427734,0.9682899207248018,8.033683776855469,1.2739646434783936
8,0.1,mondrian,"[500,inf)",2774,21192,3.1798934936523438,0.9173272933182333,6.3597869873046875,1.2739646434783936
8,0.1,mondrian,all,9897,43096,,0.945679413402636,6.622608166668617,1.2739646434783936
8,0.05,global,all,9897,43096,4.149013519287109,0.9734778169667718,8.298027038574219,1.2739646434783936
8,0.05,mondrian,"[0,200)",3516,9542,3.212862491607666,0.989834416264934,6.425724983215332,1.2739646434783936
8,0.05,mondrian,"[200,500)",3607,12362,5.1121063232421875,0.9861672868467886,10.224212646484375,1.2739646434783936
8,0.05,mondrian,"[500,inf)",2774,21192,3.9219741821289062,0.9572952057380143,7.8439483642578125,1.2739646434783936
8,0.05,mondrian,all,9897,43096,,0.9727816966771858,8.212709723896234,1.2739646434783936
9,0.1,global,all,9897,43096,3.6742610931396484,0.9549842212734361,7.348522186279297,1.357021450996399
9,0.1,mondrian,"[0,200)",3516,9542,3.2899208068847656,0.9770488367218613,6.579841613769531,1.357021450996399
9,0.1,mondrian,"[200,500)",3607,12362,4.642168045043945,0.9754085099498463,9.28433609008789,1.357021450996399
9,0.1,mondrian,"[500,inf)",2774,21192,2.717987060546875,0.8710834277085693,5.43597412109375,1.357021450996399
9,0.1,mondrian,all,9897,43096,,0.9244709485799146,6.793135673809034,1.357021450996399
9,0.05,global,all,9897,43096,4.672397613525391,0.9799053276406163,9.344795227050781,1.357021450996399
9,0.05,mondrian,"[0,200)",3516,9542,4.079658508300781,0.9896248166002934,8.159317016601562,1.357021450996399
9,0.05,mondrian,"[200,500)",3607,12362,5.793880462646484,0.9885940786280537,11.587760925292969,1.357021450996399
9,0.05,mondrian,"[500,inf)",2774,21192,3.429180145263672,0.9353057757644394,6.858360290527344,1.357021450996399
9,0.05,mondrian,all,9897,43096,,0.9626183404492297,8.503027538698237,1.357021450996399
10,0.1,global,all,9897,43096,3.3677730560302734,0.9466075737887507,6.735546112060547,1.2705178260803223
10,0.1,mondrian,"[0,200)",3516,9542,2.9374704360961914,0.9858520226367637,5.874940872192383,1.2705178260803223
10,0.1,mondrian,"[200,500)",3607,12362,4.037471771240234,0.9662675942404142,8.074943542480469,1.2705178260803223
10,0.1,mondrian,"[500,inf)",2774,21192,3.1727676391601562,0.9186957342393356,6.3455352783203125,1.2705178260803223
10,0.1,mondrian,all,9897,43096,,0.9472108780397253,6.73741696428363,1.2705178260803223
10,0.05,global,all,9897,43096,4.184612274169922,0.9733385929088546,8.369224548339844,1.2705178260803223
10,0.05,mondrian,"[0,200)",3516,9542,3.447911262512207,0.9917208132466988,6.895822525024414,1.2705178260803223
