resolution,mode,model,seed,window,lag_min,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
30,forecast,Hybrid,5,6,0,5035,4409,1.7558637857437134,2.546449309738297,0.952890932559967,71,75,73.9
30,forecast,Hybrid,6,6,0,5035,4409,1.907096266746521,2.661763650858623,0.9485276937484741,52,75,46.2
30,forecast,Hybrid,7,6,0,5035,4409,1.8427127599716187,2.6120478480631415,0.950432538986206,77,75,239.8
30,forecast,Hybrid,8,6,0,5035,4409,2.1141269207000732,2.833434963273566,0.9416741728782654,40,75,151.4
30,forecast,Hybrid,9,6,0,5035,4409,1.7973276376724243,2.565941616134492,0.9521669149398804,85,75,384.7
15,nowcast,Faiman,-1,0,0,14806,12885,2.378503761675207,2.9297070940383017,0.9468361567771075,0,0,0.0
15,nowcast,PG-ResMLP,0,0,30,14806,12885,1.3746823072433472,1.791545959960559,0.9801196455955505,200,222,167.1
15,nowcast,PG-ResMLP,1,0,30,14806,12885,2.1391589641571045,2.680890227680409,0.9554829597473145,21,222,18.1
15,nowcast,PG-ResMLP,2,0,30,14806,12885,1.361672043800354,1.789075693140151,0.9801744222640991,200,222,162.8
15,nowcast,PG-ResMLP,3,0,30,14806,12885,1.3525925874710083,1.771686916696129,0.9805579781532288,200,222,178.4
15,nowcast,PG-ResMLP,4,0,30,14806,12885,1.3672057390213013,1.7826164090959529,0.9803173542022705,200,222,161.8
15,nowcast,PG-ResMLP,5,0,30,14806,12885,1.4047340154647827,1.8252499788036378,0.9793646335601807,200,222,159.1
15,nowcast,PG-ResMLP,6,0,30,14806,12885,1.3533247709274292,1.765512783569276,0.9806932210922241,200,222,160.2
15,nowcast,PG-ResMLP,7,0,30,14806,12885,1.9561854600906372,2.4837370239287457,0.9617897868156433,21,222,21.9
15,nowcast,PG-ResMLP,8,0,30,14806,12885,1.3476814031600952,1.7681669318848914,0.9806351065635681,200,222,189.9
15,nowcast,PG-ResMLP,9,0,30,14806,12885,1.3218283653259277,1.7405088403044957,0.9812362194061279,200,222,345.2
15,nowcast,LSTM,0,6,0,12908,11220,1.3378660678863525,1.7570651351761861,0.9780072569847107,87,193,238.6
15,nowcast,LSTM,1,6,0,12908,11220,1.3697032928466797,1.7494295416612762,0.9781979918479919,78,193,211.0
15,nowcast,LSTM,2,6,0,12908,11220,1.3770668506622314,1.7620440603543042,0.977882444858551,75,193,56.4
15,nowcast,LSTM,3,6,0,12908,11220,1.2963670492172241,1.7045845287352686,0.979301393032074,76,193,31.1
15,nowcast,LSTM,4,6,0,12908,11220,1.3095159530639648,1.6927607445061068,0.9795875549316406,97,193,56.2
15,nowcast,LSTM,5,6,0,12908,11220,1.3654685020446777,1.7730740750368066,0.9776046276092529,68,193,47.1
15,nowcast,LSTM,6,6,0,12908,11220,1.3075652122497559,1.6978645628753188,0.9794642925262451,92,193,53.9
15,nowcast,LSTM,7,6,0,12908,11220,1.2753959894180298,1.6681367668917408,0.980177104473114,89,193,45.4
15,nowcast,LSTM,8,6,0,12908,11220,1.3570204973220825,1.7372462245116775,0.9785006046295166,86,193,87.9
15,nowcast,LSTM,9,6,0,12908,11220,1.2813475131988525,1.6885720838771856,0.9796884655952454,85,193,38.3
15,forecast,PG-ResMLP,0,0,30,14399,12532,1.914194941520691,2.4420285339750416,0.960835337638855,22,216,3.3
15,forecast,PG-ResMLP,1,0,30,14399,12532,1.8775112628936768,2.4081984718692375,0.961912989616394,22,216,5.1
15,forecast,PG-ResMLP,2,0,30,14399,12532,2.1394879817962646,2.6768638035951784,0.9529407620429993,21,216,4.7
15,forecast,PG-ResMLP,3,0,30,14399,12532,2.0597879886627197,2.61147036910406,0.955211877822876,21,216,4.4
15,forecast,PG-ResMLP,4,0,30,14399,12532,1.9097784757614136,2.4422232031576776,0.9608291387557983,22,216,3.4
15,forecast,PG-ResMLP,5,0,30,14399,12532,1.9403423070907593,2.4747322130312606,0.9597793817520142,22,216,3.5
15,forecast,PG-ResMLP,6,0,30,14399,12532,1.9288910627365112,2.459607543033455,0.9602695107460022,22,216,2.6
15,forecast,PG-ResMLP,7,0,30,14399,12532,2.1461639404296875,2.693338218423297,0.9523597359657288,21,216,2.5
15,forecast,PG-ResMLP,8,0,30,14399,12532,1.9264007806777954,2.45823719892735,0.9603137373924255,22,216,2.7
15,forecast,PG-ResMLP,9,0,30,14399,12532,1.8936282396316528,2.428666860244133,0.9612627625465393,22,216,2.6
15,forecast,LSTM,0,6,0,12546,10905,1.6097984313964844,2.1123571720031245,0.9681516289710999,88,188,24.2
15,forecast,LSTM,1,6,0,12546,10905,1.5993167161941528,2.0996695576403774,0.9685330986976624,85,188,24.0
15,forecast,LSTM,2,6,0,12546,10905,1.7004201412200928,2.2015754174096513,0.9654045104980469,85,188,25.9
15,forecast,LSTM,3,6,0,12546,10905,1.5319229364395142,2.0407928491234593,0.9702730774879456,101,188,26.3
15,forecast,LSTM,4,6,0,12546,10905,1.567046046257019,2.0580976492845227,0.9697667956352234,102,188,27.9
