seed,alpha,method,band,n_cal,n_test,qhat,coverage,mean_width,test_MAE
2,0.05,mondrian,"[500,inf)",2774,21192,3.6508636474609375,0.9451208003020007,7.301727294921875,1.3290809392929077
2,0.05,mondrian,all,9897,43096,,0.9677696305921664,8.62782912611054,1.3290809392929077
3,0.1,global,all,9897,43096,3.250316619873047,0.944263968813811,6.500633239746094,1.242289662361145
3,0.1,mondrian,"[0,200)",3516,9542,2.550149917602539,0.9758960385663383,5.100299835205078,1.242289662361145
3,0.1,mondrian,"[200,500)",3607,12362,3.945547103881836,0.9641643746966511,7.891094207763672,1.242289662361145
3,0.1,mondrian,"[500,inf)",2774,21192,3.231283187866211,0.9294073235183088,6.462566375732422,1.242289662361145
3,0.1,mondrian,all,9897,43096,,0.9496705030629293,6.57071362210931,1.242289662361145
3,0.05,global,all,9897,43096,4.1237335205078125,0.9737794690922591,8.247467041015625,1.242289662361145
3,0.05,mondrian,"[0,200)",3516,9542,3.1092681884765625,0.9885768182770908,6.218536376953125,1.242289662361145
3,0.05,mondrian,"[200,500)",3607,12362,4.941768646240234,0.984792104837405,9.883537292480469,1.242289662361145
3,0.05,mondrian,"[500,inf)",2774,21192,3.9842758178710938,0.9628633446583617,7.9685516357421875,1.242289662361145
3,0.05,mondrian,all,9897,43096,,0.9748468535362911,8.13038584516379,1.242289662361145
4,0.1,global,all,9897,43096,3.8028125762939453,0.958511230740672,7.605625152587891,1.35927414894104
4,0.1,mondrian,"[0,200)",3516,9542,3.316129684448242,0.9731712429260113,6.632259368896484,1.35927414894104
4,0.1,mondrian,"[200,500)",3607,12362,4.84052848815918,0.9774308364342339,9.68105697631836,1.35927414894104
4,0.1,mondrian,"[500,inf)",2774,21192,2.815509796142578,0.8867025292563231,5.631019592285156,1.35927414894104
4,0.1,mondrian,all,9897,43096,,0.9318730276591795,7.014451745845666,1.35927414894104
4,0.05,global,all,9897,43096,4.8069000244140625,0.9814832002970113,9.613800048828125,1.35927414894104
4,0.05,mondrian,"[0,200)",3516,9542,4.11685848236084,0.9884720184447705,8.23371696472168,1.35927414894104
4,0.05,mondrian,"[200,500)",3607,12362,5.996183395385742,0.9894030092218088,11.992366790771484,1.35927414894104
4,0.05,mondrian,"[500,inf)",2774,21192,3.5855064392089844,0.9441770479426198,7.171012878417969,1.35927414894104
4,0.05,mondrian,all,9897,43096,,0.966957490254316,8.789304586604905,1.35927414894104
5,0.1,global,all,9897,43096,3.3916778564453125,0.9496008910339707,6.783355712890625,1.2661892175674438
5,0.1,mondrian,"[0,200)",3516,9542,2.8150243759155273,0.9835464263257179,5.630048751831055,1.2661892175674438
5,0.1,mondrian,"[200,500)",3607,12362,4.090953826904297,0.9693415304966834,8.181907653808594,1.2661892175674438
5,0.1,mondrian,"[500,inf)",2774,21192,3.1733531951904297,0.9221404303510758,6.346706390380859,1.2661892175674438
5,0.1,mondrian,all,9897,43096,,0.9492760348988305,6.714453068296476,1.2661892175674438
5,0.05,global,all,9897,43096,4.256572723388672,0.9761462780768517,8.513145446777344,1.2661892175674438
5,0.05,mondrian,"[0,200)",3516,9542,3.453239917755127,0.9920352127436596,6.906479835510254,1.2661892175674438
5,0.05,mondrian,"[200,500)",3607,12362,5.2096710205078125,0.9871380035592946,10.419342041015625,1.2661892175674438
5,0.05,mondrian,"[500,inf)",2774,21192,3.9963417053222656,0.9621083427708569,7.992683410644531,1.2661892175674438
5,0.05,mondrian,all,9897,43096,,0.975914237980323,8.44826628317832,1.2661892175674438
6,0.1,global,all,9897,43096,3.3530406951904297,0.9449368850937442,6.706081390380859,1.277632474899292
6,0.1,mondrian,"[0,200)",3516,9542,2.7994213104248047,0.9835464263257179,5.598842620849609,1.277632474899292
6,0.1,mondrian,"[200,500)",3607,12362,4.0810546875,0.9665911664779162,8.162109375,1.277632474899292
6,0.1,mondrian,"[500,inf)",2774,21192,3.2257862091064453,0.9203944884862212,6.451572418212891,1.277632474899292
6,0.1,mondrian,all,9897,43096,,0.9476285502134769,6.753431294520711,1.277632474899292
6,0.05,global,all,9897,43096,4.240682601928711,0.9733153888992018,8.481365203857422,1.277632474899292
6,0.05,mondrian,"[0,200)",3516,9542,3.3530406951904297,0.9919304129113393,6.706081390380859,1.277632474899292
6,0.05,mondrian,"[200,500)",3607,12362,5.168346405029297,0.9858437146092865,10.336692810058594,1.277632474899292
6,0.05,mondrian,"[500,inf)",2774,21192,4.017818450927734,0.9567289543223858,8.035636901855469,1.277632474899292
6,0.05,mondrian,all,9897,43096,,0.9728745127157973,8.401309689276953,1.277632474899292
7,0.1,global,all,9897,43096,3.3436355590820312,0.9451921291999258,6.6872711181640625,1.2714519500732422
7,0.1,mondrian,"[0,200)",3516,9542,2.889493942260742,0.9857472228044435,5.778987884521484,1.2714519500732422
7,0.1,mondrian,"[200,500)",3607,12362,4.0843048095703125,0.9666720595372917,8.168609619140625,1.2714519500732422
7,0.1,mondrian,"[500,inf)",2774,21192,3.1221923828125,0.9134579086447716,6.244384765625,1.2714519500732422
7,0.1,mondrian,all,9897,43096,,0.9447280490068684,6.693299992088487,1.2714519500732422
7,0.05,global,all,9897,43096,4.245641708374023,0.9746148134397624,8.491283416748047,1.2714519500732422
7,0.05,mondrian,"[0,200)",3516,9542,3.4011783599853516,0.9923496122406205,6.802356719970703,1.2714519500732422
7,0.05,mondrian,"[200,500)",3607,12362,5.13255500793457,0.9851965701342825,10.26511001586914,1.2714519500732422
7,0.05,mondrian,"[500,inf)",2774,21192,3.8968162536621094,0.9555492638731596,7.793632507324219,1.2714519500732422
7,0.05,mondrian,all,9897,43096,,0.9722015964358641,8.283089797970801,1.2714519500732422
8,0.1,global,all,9897,43096,3.500202178955078,0.9504362353814739,7.000404357910156,1.288997769355774
8,0.1,mondrian,"[0,200)",3516,9542,3.023104190826416,0.9841752253196395,6.046208381652832,1.288997769355774
8,0.1,mondrian,"[200,500)",3607,12362,4.324499130249023,0.9714447500404465,8.648998260498047,1.288997769355774
8,0.1,mondrian,"[500,inf)",2774,21192,3.0041255950927734,0.9024631936579841,6.008251190185547,1.288997769355774
8,0.1,mondrian,all,9897,43096,,0.9403424911824764,6.774148322267038,1.288997769355774
8,0.05,global,all,9897,43096,4.395423889160156,0.9759838500092816,8.790847778320312,1.288997769355774
8,0.05,mondrian,"[0,200)",3516,9542,3.690443992614746,0.9927688115699015,7.380887985229492,1.288997769355774
8,0.05,mondrian,"[200,500)",3607,12362,5.523525238037109,0.9874615757967966,11.047050476074219,1.288997769355774
8,0.05,mondrian,"[500,inf)",2774,21192,3.785562515258789,0.9499811249528124,7.571125030517578,1.288997769355774
8,0.05,mondrian,all,9897,43096,,0.9702060516057175,8.526066288913539,1.288997769355774
9,0.1,global,all,9897,43096,3.74078369140625,0.9556803415630221,7.4815673828125,1.3524556159973145
9,0.1,mondrian,"[0,200)",3516,9542,3.3660058975219727,0.978096835045064,6.732011795043945,1.3524556159973145
9,0.1,mondrian,"[200,500)",3607,12362,4.736469268798828,0.9754894030092218,9.472938537597656,1.3524556159973145
9,0.1,mondrian,"[500,inf)",2774,21192,2.779033660888672,0.8778312570781427,5.558067321777344,1.3524556159973145
9,0.1,mondrian,all,9897,43096,,0.9280443660664562,6.940966341033902,1.3524556159973145
9,0.05,global,all,9897,43096,4.798040390014648,0.980137367737145,9.596080780029297,1.3524556159973145
9,0.05,mondrian,"[0,200)",3516,9542,4.265178680419922,0.9909872144204569,8.530357360839844,1.3524556159973145
9,0.05,mondrian,"[200,500)",3607,12362,5.865383148193359,0.9881896133311762,11.730766296386719,1.3524556159973145
9,0.05,mondrian,"[500,inf)",2774,21192,3.5921897888183594,0.9418176670441676,7.184379577636719,1.3524556159973145
9,0.05,mondrian,all,9897,43096,,0.9660061258585484,8.786517888025426,1.3524556159973145
10,0.1,global,all,9897,43096,4.068643569946289,0.9652171895303508,8.137287139892578,1.383349061012268
10,0.1,mondrian,"[0,200)",3516,9542,3.6957950592041016,0.9821840285055544,7.391590118408203,1.383349061012268
10,0.1,mondrian,"[200,500)",3607,12362,5.151823043823242,0.9801812004530012,10.303646087646484,1.383349061012268
10,0.1,mondrian,"[500,inf)",2774,21192,2.7915382385253906,0.8842959607399018,5.583076477050781,1.383349061012268
10,0.1,mondrian,all,9897,43096,,0.9334741043252274,7.337590090657998,1.383349061012268
10,0.05,global,all,9897,43096,5.11724853515625,0.9843604974939669,10.2344970703125,1.383349061012268
10,0.05,mondrian,"[0,200)",3516,9542,4.51533317565918,0.9917208132466988,9.03066635131836,1.383349061012268
10,0.05,mondrian,"[200,500)",3607,12362,6.270332336425781,0.9907781912311924,12.540664672851562,1.383349061012268
