N,seed,method,MAE,n_samples
14,4,B_Scratch_Res5f,2.795490264892578,840.0
14,4,C_Pretrained_Res5f,3.245835065841675,840.0
14,4,D_Pretrained_Std4f,2.95562744140625,840.0
14,5,A_Faiman+bias,3.49839186668396,840.0
14,5,B_Scratch_Res5f,2.581021785736084,840.0
14,5,C_Pretrained_Res5f,2.719794273376465,840.0
14,5,D_Pretrained_Std4f,2.8478732109069824,840.0
14,6,A_Faiman+bias,3.3361639976501465,840.0
14,6,B_Scratch_Res5f,2.065169095993042,840.0
14,6,C_Pretrained_Res5f,2.334644079208374,840.0
14,6,D_Pretrained_Std4f,2.0266575813293457,840.0
14,7,A_Faiman+bias,3.569894552230835,840.0
14,7,B_Scratch_Res5f,2.5161385536193848,840.0
14,7,C_Pretrained_Res5f,2.9578428268432617,840.0
14,7,D_Pretrained_Std4f,2.8006060123443604,840.0
14,8,A_Faiman+bias,3.355294942855835,840.0
14,8,B_Scratch_Res5f,2.2448859214782715,840.0
14,8,C_Pretrained_Res5f,2.4581871032714844,840.0
14,8,D_Pretrained_Std4f,2.154574394226074,840.0
14,9,A_Faiman+bias,3.4921510219573975,840.0
14,9,B_Scratch_Res5f,1.877793312072754,840.0
14,9,C_Pretrained_Res5f,1.799523949623108,840.0
14,9,D_Pretrained_Std4f,1.7842293977737427,840.0
28,0,A_Faiman+bias,3.5084750652313232,1680.0
28,0,B_Scratch_Res5f,2.538878917694092,1680.0
28,0,C_Pretrained_Res5f,2.564547538757324,1680.0
28,0,D_Pretrained_Std4f,1.9519509077072144,1680.0
28,1,A_Faiman+bias,3.499023199081421,1680.0
28,1,B_Scratch_Res5f,1.7317310571670532,1680.0
28,1,C_Pretrained_Res5f,1.7552136182785034,1680.0
28,1,D_Pretrained_Std4f,1.7461947202682495,1680.0
28,2,A_Faiman+bias,3.5978569984436035,1680.0
28,2,B_Scratch_Res5f,2.2620296478271484,1680.0
28,2,C_Pretrained_Res5f,2.2154135704040527,1680.0
28,2,D_Pretrained_Std4f,2.0240423679351807,1680.0
28,3,A_Faiman+bias,3.392136335372925,1680.0
28,3,B_Scratch_Res5f,2.55491042137146,1680.0
28,3,C_Pretrained_Res5f,2.568899154663086,1680.0
28,3,D_Pretrained_Std4f,2.2971949577331543,1680.0
28,4,A_Faiman+bias,3.388258218765259,1680.0
28,4,B_Scratch_Res5f,2.74485182762146,1680.0
28,4,C_Pretrained_Res5f,2.9930312633514404,1680.0
28,4,D_Pretrained_Std4f,2.7040698528289795,1680.0
28,5,A_Faiman+bias,3.5368876457214355,1680.0
28,5,B_Scratch_Res5f,2.460261821746826,1680.0
28,5,C_Pretrained_Res5f,2.0306360721588135,1680.0
28,5,D_Pretrained_Std4f,2.1688950061798096,1680.0
28,6,A_Faiman+bias,3.3945181369781494,1680.0
28,6,B_Scratch_Res5f,3.1937198638916016,1680.0
28,6,C_Pretrained_Res5f,3.5783443450927734,1680.0
28,6,D_Pretrained_Std4f,2.996659994125366,1680.0
28,7,A_Faiman+bias,3.5208098888397217,1680.0
28,7,B_Scratch_Res5f,2.375523805618286,1680.0
28,7,C_Pretrained_Res5f,2.904606819152832,1680.0
28,7,D_Pretrained_Std4f,2.9129385948181152,1680.0
28,8,A_Faiman+bias,3.428471803665161,1680.0
28,8,B_Scratch_Res5f,2.634519100189209,1680.0
28,8,C_Pretrained_Res5f,2.7113101482391357,1680.0
28,8,D_Pretrained_Std4f,2.142322540283203,1680.0
28,9,A_Faiman+bias,3.3195860385894775,1680.0
28,9,B_Scratch_Res5f,2.506699562072754,1680.0
28,9,C_Pretrained_Res5f,2.70233416557312,1680.0
28,9,D_Pretrained_Std4f,2.5251357555389404,1680.0
999,0,B_Scratch_Res5f,1.8237214088439941,26156.0
999,0,C_Pretrained_Res5f,1.8550125360488892,26156.0
999,0,D_Pretrained_Std4f,1.9676902294158936,26156.0
999,0,A_Faiman+bias,3.3248627185821533,
