N_days,strategy,seed,MAE,RMSE,R2,n_samples
7,last_layer,3,3.756016731262207,4.772195257945347,0.6119134426116943,420
7,last_layer,4,3.6813852787017822,4.861215715039749,0.5972996950149536,420
7,full_finetune,0,1.854418396949768,2.654074282712663,0.8799620866775513,420
7,full_finetune,1,1.928683876991272,2.7195117803992814,0.8739699721336365,420
7,full_finetune,2,1.922376036643982,2.7573245213857858,0.8704409003257751,420
7,full_finetune,3,3.8359177112579346,4.971298427945397,0.5788547992706299,420
7,full_finetune,4,4.052670955657959,5.299064791238465,0.5214904546737671,420
7,from_scratch,0,1.9252166748046875,2.785821308273971,0.8677490949630737,420
7,from_scratch,1,2.312316417694092,3.0983868924238696,0.836407482624054,420
7,from_scratch,2,1.9930505752563477,2.8675122817690233,0.8598791360855103,420
7,from_scratch,3,4.077629089355469,5.5118978296895635,0.48228055238723755,420
7,from_scratch,4,5.899814605712891,7.0294425845380095,0.1579575538635254,420
14,output_only,0,2.5330617427825928,3.2267973216325534,0.8225665092468262,840
14,output_only,1,1.8304816484451294,2.614783888542791,0.8834898471832275,840
14,output_only,2,3.404733180999756,4.086926779960798,0.7153666019439697,840
14,output_only,3,2.3603761196136475,3.1755931090007588,0.8281530141830444,840
14,output_only,4,2.918381929397583,3.94053714421325,0.7353919744491577,840
14,last_layer,0,2.7769813537597656,3.446297502601949,0.7976059913635254,840
14,last_layer,1,1.870039939880371,2.677280245613037,0.8778538107872009,840
14,last_layer,2,2.835848569869995,3.508653705554381,0.7902156114578247,840
14,last_layer,3,2.6830084323883057,3.4898563259249147,0.7924573421478271,840
14,last_layer,4,3.055042266845703,4.099912707632332,0.713554859161377,840
14,full_finetune,0,2.608806848526001,3.306605871190296,0.8136810064315796,840
14,full_finetune,1,1.9519622325897217,2.7672367033415406,0.8695077300071716,840
14,full_finetune,2,2.623687744140625,3.3124176590959986,0.8130254745483398,840
14,full_finetune,3,2.826076030731201,3.6610339566791796,0.7715981006622314,840
14,full_finetune,4,2.402278423309326,3.2442169088619224,0.8206456303596497,840
14,from_scratch,0,1.930834174156189,2.788713449386528,0.8674743175506592,840
14,from_scratch,1,1.9478439092636108,2.8515227014560036,0.8614374399185181,840
14,from_scratch,2,1.8813689947128296,2.7714712990794426,0.8691080212593079,840
14,from_scratch,3,2.5091404914855957,3.345499454496536,0.8092721700668335,840
14,from_scratch,4,7.360764503479004,8.577538864594716,-0.2537691593170166,840
28,output_only,0,2.576673984527588,3.2689647480022845,0.8178988695144653,1680
28,output_only,1,1.7987024784088135,2.5938596587382547,0.8853470683097839,1680
28,output_only,2,1.966753602027893,2.756963150597269,0.8704748153686523,1680
28,output_only,3,2.285029411315918,3.0714446254323335,0.8392401337623596,1680
28,output_only,4,2.527003288269043,3.408296302898927,0.8020448088645935,1680
28,last_layer,0,2.623936176300049,3.2960160569290586,0.8148725628852844,1680
28,last_layer,1,1.7658939361572266,2.5582738312336604,0.8884713649749756,1680
28,last_layer,2,1.915872573852539,2.677456563816311,0.8778377175331116,1680
28,last_layer,3,2.378474235534668,3.1108111414785014,0.8350928425788879,1680
28,last_layer,4,2.4687442779541016,3.3104927171086325,0.8132427930831909,1680
28,full_finetune,0,2.6873488426208496,3.3894721677464377,0.8042253851890564,1680
28,full_finetune,1,1.7726937532424927,2.5771639795618886,0.8868182897567749,1680
28,full_finetune,2,1.939893126487732,2.6912099381870016,0.8765794634819031,1680
28,full_finetune,3,2.4435715675354004,3.17089212156747,0.8286614418029785,1680
28,full_finetune,4,2.8462860584259033,3.7782633943034463,0.7567366361618042,1680
28,from_scratch,0,1.9089062213897705,2.7071348228292234,0.8751145005226135,1680
28,from_scratch,1,1.7623162269592285,2.5721867461626906,0.8872550129890442,1680
28,from_scratch,2,1.9179651737213135,2.7367474536223555,0.8723673820495605,1680
28,from_scratch,3,2.4666876792907715,3.211050361079178,0.8242940902709961,1680
28,from_scratch,4,8.257986068725586,9.529513241484524,-0.5475106239318848,1680
999,output_only,0,1.958046317100525,2.723707217912956,0.873580813407898,26156
999,last_layer,0,1.8846724033355713,2.663115391779955,0.8791428804397583,26156
999,full_finetune,0,1.865651249885559,2.6345753187445484,0.8817194104194641,26156
999,from_scratch,0,1.8102765083312988,2.6035214858336135,0.8844913244247437,26156
