resolution,mode,model,seed,window,lag_min,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
15,forecast,PG-ResMLP,10,0,30,14399,12532,2.046847105026245,2.5814860312220422,0.9562344551086426,21,216,2.4
15,forecast,PG-ResMLP,11,0,30,14399,12532,1.9210245609283447,2.4507041697712872,0.9605566263198853,22,216,2.4
15,forecast,PG-ResMLP,12,0,30,14399,12532,2.1372413635253906,2.69026822195838,0.9524682760238647,21,216,2.3
15,forecast,PG-ResMLP,13,0,30,14399,12532,1.872751235961914,2.4027608369831546,0.9620847702026367,23,216,2.5
15,forecast,PG-ResMLP,14,0,30,14399,12532,2.1607842445373535,2.7178200194478612,0.9514896869659424,21,216,2.3
15,forecast,PG-ResMLP,15,0,30,14399,12532,1.8873814344406128,2.4220649890827315,0.9614731073379517,23,216,2.5
15,forecast,PG-ResMLP,16,0,30,14399,12532,1.9557374715805054,2.483555208658907,0.959492027759552,22,216,2.4
15,forecast,PG-ResMLP,17,0,30,14399,12532,1.9307917356491089,2.45973122717929,0.9602655172348022,22,216,2.4
15,forecast,PG-ResMLP,18,0,30,14399,12532,1.8910112380981445,2.4285317766334473,0.9612671136856079,22,216,2.4
15,forecast,PG-ResMLP,19,0,30,14399,12532,1.9349603652954102,2.4637526138887904,0.9601354598999023,22,216,2.4
15,forecast,LSTM,0,6,0,12546,10905,1.5711055994033813,2.0871361421085592,0.9689075946807861,84,188,23.8
15,forecast,LSTM,1,6,0,12546,10905,1.5635950565338135,2.0656921652811926,0.9695432782173157,92,188,26.1
15,forecast,LSTM,2,6,0,12546,10905,1.5352773666381836,2.0581838355298054,0.969764232635498,86,188,25.1
15,forecast,LSTM,3,6,0,12546,10905,1.7317219972610474,2.231426294024533,0.964460015296936,66,188,19.5
15,forecast,LSTM,4,6,0,12546,10905,1.5582548379898071,2.0831301653660903,0.9690268635749817,88,188,25.6
15,forecast,LSTM,5,6,0,12546,10905,1.5458183288574219,2.054512393582604,0.969871997833252,123,188,35.5
15,forecast,LSTM,6,6,0,12546,10905,1.5921858549118042,2.0960772661207163,0.9686406850814819,79,188,23.7
15,forecast,LSTM,7,6,0,12546,10905,1.5257536172866821,2.038571236431202,0.9703377485275269,88,188,26.7
15,forecast,LSTM,8,6,0,12546,10905,1.553160309791565,2.0706092477850424,0.9693980813026428,76,188,23.3
15,forecast,LSTM,9,6,0,12546,10905,1.5860002040863037,2.099693857311964,0.9685323238372803,80,188,25.0
15,forecast,LSTM,10,6,0,12546,10905,1.5144838094711304,2.026227757816033,0.9706958532333374,103,188,31.7
15,forecast,LSTM,11,6,0,12546,10905,1.5392996072769165,2.0535787049158682,0.9698994159698486,96,188,29.7
15,forecast,LSTM,12,6,0,12546,10905,1.5855004787445068,2.0939533647301105,0.9687041640281677,103,188,32.7
15,forecast,LSTM,13,6,0,12546,10905,1.4727320671081543,1.9821878229291623,0.9719558954238892,113,188,35.3
15,forecast,LSTM,14,6,0,12546,10905,1.6775214672088623,2.1758188350588443,0.9662092328071594,81,188,25.7
15,forecast,LSTM,15,6,0,12546,10905,1.5542877912521362,2.0622585039651344,0.9696444272994995,112,188,35.2
15,forecast,LSTM,16,6,0,12546,10905,1.5939810276031494,2.1115924623855262,0.9681746959686279,78,188,25.1
15,forecast,LSTM,17,6,0,12546,10905,1.6856237649917603,2.1915631297594853,0.9657184481620789,67,188,21.8
15,forecast,LSTM,18,6,0,12546,10905,1.566705584526062,2.066836797212948,0.969509482383728,90,188,28.6
15,forecast,LSTM,19,6,0,12546,10905,1.520516276359558,2.0382485354551725,0.9703471064567566,89,188,28.5
15,forecast,Hybrid,0,6,0,12546,10905,1.5244264602661133,2.103511544651335,0.9684178233146667,52,188,77.3
15,forecast,Hybrid,1,6,0,12546,10905,1.9805160760879517,2.5708050009610433,0.9528273344039917,47,188,67.3
15,forecast,Hybrid,2,6,0,12546,10905,1.5959951877593994,2.105973390249904,0.9683438539505005,40,188,57.2
15,forecast,Hybrid,3,6,0,12546,10905,1.7482702732086182,2.3114188476417246,0.9618662595748901,39,188,55.5
15,forecast,Hybrid,4,6,0,12546,10905,1.4468926191329956,1.9984282635795216,0.9714944362640381,68,188,95.8
15,forecast,Hybrid,5,6,0,12546,10905,1.6368225812911987,2.222248274597466,0.9647517800331116,44,188,62.6
15,forecast,Hybrid,6,6,0,12546,10905,1.7165234088897705,2.2391879656845477,0.9642122983932495,38,188,55.2
15,forecast,Hybrid,7,6,0,12546,10905,1.724214792251587,2.2748147784278094,0.963064432144165,57,188,81.5
15,forecast,Hybrid,8,6,0,12546,10905,1.6654402017593384,2.238177072387446,0.9642446041107178,42,188,60.2
15,forecast,Hybrid,9,6,0,12546,10905,1.6051435470581055,2.134615963561045,0.9674769043922424,73,188,102.5
15,forecast,Hybrid,10,6,0,12546,10905,1.4688186645507812,2.008382159809559,0.9712097644805908,63,188,89.3
15,forecast,Hybrid,11,6,0,12546,10905,1.466333031654358,1.9948947836681747,0.9715951681137085,86,188,120.6
15,forecast,Hybrid,12,6,0,12546,10905,1.4443269968032837,1.9810727494431963,0.9719874262809753,70,188,98.7
15,forecast,Hybrid,13,6,0,12546,10905,1.5458694696426392,2.0786046213225466,0.9691612720489502,77,188,110.0
15,forecast,Hybrid,14,6,0,12546,10905,1.4936012029647827,2.0491564899371313,0.9700288772583008,55,188,78.4
15,forecast,Hybrid,15,6,0,12546,10905,1.4598286151885986,1.9944337634996316,0.9716082811355591,79,188,114.1
15,forecast,Hybrid,16,6,0,12546,10905,1.5025160312652588,2.0544356855406667,0.9698742628097534,108,188,151.9
15,forecast,Hybrid,17,6,0,12546,10905,1.5297386646270752,2.0446915956852916,0.9701593518257141,64,188,92.0
15,forecast,Hybrid,18,6,0,12546,10905,1.4846224784851074,2.0191595742666153,0.9708999395370483,103,188,144.5
15,forecast,Hybrid,19,6,0,12546,10905,1.5250324010849,2.0478434128205745,0.9700673222541809,64,188,91.5
10,nowcast,Faiman,-1,0,0,22425,19518,2.4271307781051505,2.9968842236926694,0.945402983357826,0,0,0.0
10,nowcast,PG-ResMLP,0,0,30,22425,19518,1.4019962549209595,1.8437243960914211,0.9793356657028198,200,256,21.1
10,nowcast,PG-ResMLP,1,0,30,22425,19518,1.4005032777786255,1.8393320072501587,0.9794340133666992,200,256,21.2
10,nowcast,PG-ResMLP,2,0,30,22425,19518,1.3991950750350952,1.8555245160205303,0.9790703058242798,191,256,20.4
10,nowcast,PG-ResMLP,3,0,30,22425,19518,1.4160548448562622,1.8553501452635675,0.979074239730835,200,256,21.3
10,nowcast,PG-ResMLP,4,0,30,22425,19518,1.4034550189971924,1.8436210716557975,0.9793379902839661,200,256,21.2
10,nowcast,PG-ResMLP,5,0,30,22425,19518,1.3794101476669312,1.8310801430522234,0.9796181321144104,200,256,21.3
10,nowcast,PG-ResMLP,6,0,30,22425,19518,1.387316107749939,1.8270428054588994,0.9797079563140869,200,256,21.6
10,nowcast,PG-ResMLP,7,0,30,22425,19518,1.4586751461029053,1.9024424439194336,0.9779984951019287,180,256,19.2
10,nowcast,PG-ResMLP,8,0,30,22425,19518,1.3992069959640503,1.8380633444305008,0.9794623851776123,192,256,20.7
10,nowcast,PG-ResMLP,9,0,30,22425,19518,1.383352279663086,1.8301439792505363,0.9796389937400818,200,256,21.5
10,nowcast,PG-ResMLP,10,0,30,22425,19518,1.3825196027755737,1.8295528997596104,0.9796521067619324,200,256,21.4
10,nowcast,PG-ResMLP,11,0,30,22425,19518,1.4234925508499146,1.861530112868041,0.978934645652771,200,256,21.1
10,nowcast,PG-ResMLP,12,0,30,22425,19518,1.383000373840332,1.8224344614853236,0.9798101782798767,200,256,21.2
10,nowcast,PG-ResMLP,13,0,30,22425,19518,1.4563461542129517,1.8933401866685826,0.9782085418701172,200,256,21.2
10,nowcast,PG-ResMLP,14,0,30,22425,19518,1.3820087909698486,1.8174683449781344,0.9799200296401978,200,256,21.2
10,nowcast,PG-ResMLP,15,0,30,22425,19518,1.4060312509536743,1.839681695171132,0.9794262051582336,200,256,21.1
