datetime,elapsed_sec,lux,GHI,T_ambient,RH,T_module,WS,T_Faiman,GHI_lag,Faiman_error,ALLSKY_SFC_SW_DWN,WS_source,T_Faiman_ws_real,Faiman_ws_real_error
2026-04-18 05:57:43.189,147463.189,1402.4,11.686666666666667,28.3,78.4,28.5,2.0,28.61114660986865,9.2125,0.1111466098686548,,fallback_2.0,28.611146609868655,0.11114660986865488
2026-04-18 05:58:43.189,147523.189,1394.0,11.616666666666667,28.1,78.7,28.5,2.0,28.409282925097624,9.536666666666669,-0.0907170749023755,,fallback_2.0,28.409282925097624,-0.09071707490237557
2026-04-18 05:59:43.189,147583.189,1325.9,11.049166666666668,28.1,78.9,28.4,2.0,28.394173766418177,9.5425,-0.0058262335818213,,fallback_2.0,28.394173766418177,-0.005826233581821327
2026-04-18 06:00:43.189,147643.189,1256.1,10.4675,28.0,79.0,28.4,2.0,28.27868743343983,9.43,-0.1213125665601673,,fallback_2.0,28.27868743343983,-0.12131256656016731
2026-04-18 06:01:43.189,147703.189,1229.7,10.2475,27.8,79.7,28.3,2.0,28.07283013844516,9.285,-0.2271698615548452,,fallback_2.0,28.072830138445156,-0.2271698615548452
2026-04-18 06:02:43.189,147763.189,1279.0,10.658333333333331,27.6,80.1,28.3,2.0,27.88376819311324,9.725,-0.4162318068867598,,fallback_2.0,27.88376819311324,-0.41623180688675987
2026-04-18 06:03:43.189,147823.189,1282.8,10.69,27.4,80.6,28.2,2.0,27.6846112886049,10.546666666666663,-0.5153887113951008,,fallback_2.0,27.6846112886049,-0.5153887113951008
2026-04-18 06:04:43.189,147883.189,1278.0,10.65,27.1,81.4,28.1,2.0,27.383546325878594,10.889166666666666,-0.7164536741214071,,fallback_2.0,27.383546325878594,-0.7164536741214071
2026-04-18 06:05:43.189,147943.189,1309.5,10.9125,27.3,81.2,28.0,2.0,27.59053514376997,11.1325,-0.4094648562300307,,fallback_2.0,27.59053514376997,-0.4094648562300307
2026-04-18 06:06:43.189,148003.189,1351.9,11.265833333333331,27.5,80.8,28.0,2.0,27.79994231451899,10.720833333333331,-0.2000576854810098,,fallback_2.0,27.79994231451899,-0.20005768548100988
2026-04-18 06:07:43.189,148063.189,1424.9,11.874166666666667,27.6,80.3,28.0,2.0,27.91613862264821,10.365,-0.0838613773517913,,fallback_2.0,27.91613862264821,-0.08386137735179133
2026-04-18 06:08:43.189,148123.189,1537.1,12.809166666666666,27.6,80.3,28.0,2.0,27.94103212637558,10.838333333333331,-0.0589678736244216,,fallback_2.0,27.94103212637558,-0.058967873624421685
2026-04-18 06:09:43.189,148183.189,1683.1,14.025833333333331,27.4,80.8,27.9,2.0,27.77342474263401,12.093333333333334,-0.1265752573659924,,fallback_2.0,27.773424742634006,-0.1265752573659924
2026-04-18 06:10:43.189,148243.189,1809.5,15.079166666666666,27.5,80.5,27.9,2.0,27.90146876109336,13.776666666666667,0.0014687610933634,,fallback_2.0,27.901468761093362,0.0014687610933634687
2026-04-18 06:11:43.189,148303.189,1912.2,15.935,27.7,80.2,28.0,2.0,28.124254526091587,15.739166666666668,0.1242545260915868,,fallback_2.0,28.124254526091587,0.12425452609158683
2026-04-18 06:12:43.189,148363.189,2008.6,16.738333333333333,27.5,80.5,28.0,2.0,27.945642527511534,17.592499999999998,-0.0543574724884621,,fallback_2.0,27.945642527511538,-0.05435747248846212
2026-04-18 06:13:43.189,148423.189,2009.9,16.749166666666667,27.6,80.5,28.0,2.0,28.045930954916575,18.210833333333333,0.045930954916578,,fallback_2.0,28.045930954916578,0.04593095491657806
2026-04-18 06:14:43.189,148483.189,1892.7,15.7725,27.5,80.7,28.0,2.0,27.91992811501597,18.18166666666667,-0.0800718849840258,,fallback_2.0,27.919928115015974,-0.08007188498402584
2026-04-18 06:15:43.189,148543.189,1691.0,14.091666666666669,27.6,80.5,28.1,2.0,27.97517749378772,17.179166666666667,-0.1248225062122827,,fallback_2.0,27.97517749378772,-0.12482250621228275
2026-04-18 06:16:43.189,148603.189,1592.9,13.274166666666668,27.7,80.3,28.1,2.0,28.053412318068865,15.744166666666668,-0.0465876819311361,,fallback_2.0,28.053412318068865,-0.04658768193113616
2026-04-18 06:17:43.189,148663.189,1590.3,13.2525,27.6,80.5,28.1,2.0,27.952835463258783,15.280833333333334,-0.1471645367412151,,fallback_2.0,27.952835463258786,-0.1471645367412151
2026-04-18 06:18:43.189,148723.189,1724.6,14.371666666666666,27.6,80.4,28.1,2.0,27.98263223287185,14.441666666666666,-0.117367767128151,,fallback_2.0,27.98263223287185,-0.117367767128151
2026-04-18 06:19:43.189,148783.189,1857.5,15.479166666666666,27.7,80.4,28.1,2.0,28.112118388356407,13.6275,0.0121183883564057,,fallback_2.0,28.112118388356407,0.012118388356405774
2026-04-18 06:20:43.189,148843.189,1974.7,16.455833333333334,27.8,80.0,28.1,2.0,28.23812122825701,13.563333333333333,0.1381212282570096,,fallback_2.0,28.23812122825701,0.13812122825700968
2026-04-18 06:21:43.189,148903.189,2016.3,16.8025,28.0,79.7,28.2,2.0,28.44735090521832,14.104166666666666,0.2473509052183189,,fallback_2.0,28.447350905218318,0.24735090521831893
2026-04-18 06:22:43.189,148963.189,2009.5,16.745833333333334,28.1,79.3,28.2,2.0,28.54584220802272,14.0975,0.3458422080227201,,fallback_2.0,28.54584220802272,0.34584220802272014
2026-04-18 06:23:43.189,149023.189,1982.8,16.523333333333333,28.1,79.2,28.3,2.0,28.53991835285765,13.695833333333333,0.23991835285765,,fallback_2.0,28.53991835285765,0.23991835285765006
2026-04-18 06:24:43.189,149083.189,1912.3,15.935833333333331,28.2,79.1,28.3,2.0,28.62427671281505,13.0275,0.324276712815049,,fallback_2.0,28.62427671281505,0.324276712815049
2026-04-18 06:25:43.189,149143.189,1882.8,15.69,28.2,79.1,28.4,2.0,28.61773162939297,12.396666666666668,0.217731629392972,,fallback_2.0,28.61773162939297,0.21773162939297208
2026-04-18 06:26:43.189,149203.189,1883.5,15.695833333333333,28.3,78.9,28.5,2.0,28.717886936457223,11.88,0.2178869364572264,,fallback_2.0,28.717886936457226,0.21788693645722645
2026-04-18 06:27:43.189,149263.189,1891.0,15.758333333333333,28.3,78.7,28.5,2.0,28.719550940717077,11.686666666666667,0.2195509407170739,,fallback_2.0,28.719550940717074,0.21955094071707393
2026-04-18 06:28:43.189,149323.189,1909.7,15.914166666666668,28.3,78.7,28.6,2.0,28.72369985800497,11.616666666666667,0.1236998580049686,,fallback_2.0,28.72369985800497,0.12369985800496863
2026-04-18 06:29:43.189,149383.189,1873.7,15.614166666666668,28.2,78.9,28.6,2.0,28.615712637557685,11.049166666666668,0.0157126375576837,,fallback_2.0,28.615712637557685,0.015712637557683706
2026-04-18 06:30:43.189,149443.189,1958.1,16.3175,28.1,79.1,28.5,2.0,28.534438232161875,10.4675,0.0344382321618752,,fallback_2.0,28.534438232161875,0.03443823216187525
2026-04-18 06:31:43.189,149503.189,1991.2,16.593333333333334,28.0,79.3,28.6,2.0,28.441782037628684,10.2475,-0.1582179623713173,,fallback_2.0,28.441782037628684,-0.15821796237131736
2026-04-18 06:32:43.189,149563.189,2071.5,17.2625,28.1,79.0,28.6,2.0,28.55959797657082,10.658333333333331,-0.0404020234291806,,fallback_2.0,28.55959797657082,-0.040402023429180645
2026-04-18 06:33:43.189,149623.189,2176.7,18.139166666666664,28.2,78.7,28.6,2.0,28.682938409655662,10.69,0.0829384096556609,,fallback_2.0,28.682938409655662,0.0829384096556609
